"","Gene","APAP","Control.1","Control.2"
"1","ENSG00000223972",8,5,9
"2","ENSG00000227232",324,204,248
"3","ENSG00000278267",15,15,16
"4","ENSG00000243485",0,0,1
"5","ENSG00000237613",0,0,0
"6","ENSG00000268020",2,0,0
"7","ENSG00000186092",1,0,0
"8","ENSG00000238009",25,14,16
"9","ENSG00000233750",30,47,43
"10","ENSG00000268903",18,18,27
"11","ENSG00000269981",10,14,21
"12","ENSG00000239906",9,6,9
"13","ENSG00000241860",64,109,95
"14","ENSG00000222623",3,3,5
"15","ENSG00000241599",9,7,7
"16","ENSG00000279928",6,3,6
"17","ENSG00000279457",405,325,408
"18","ENSG00000273874",3,6,9
"19","ENSG00000228463",93,36,74
"20","ENSG00000286448",0,0,1
"21","ENSG00000236679",3,0,3
"22","ENSG00000236601",2,2,1
"23","ENSG00000237094",199,255,193
"24","ENSG00000269732",2,1,0
"25","ENSG00000284733",13,11,13
"26","ENSG00000233653",19,35,31
"27","ENSG00000250575",31,67,69
"28","ENSG00000278757",4,2,2
"29","ENSG00000230021",64,67,53
"30","ENSG00000235146",0,2,0
"31","ENSG00000225972",4240,764,656
"32","ENSG00000225630",3507,4707,2917
"33","ENSG00000237973",42921,26316,26830
"34","ENSG00000229344",164,5778,66
"35","ENSG00000240409",2,2,0
"36","ENSG00000248527",7355,8444,6040
"37","ENSG00000198744",860,541,491
"38","ENSG00000268663",2,3,2
"39","ENSG00000284662",14,17,7
"40","ENSG00000229376",39,54,71
"41","ENSG00000228327",364,409,340
"42","ENSG00000223181",2,5,0
"43","ENSG00000229905",6,0,8
"44","ENSG00000237491",275,392,218
"45","ENSG00000230092",19,42,21
"46","ENSG00000177757",46,67,21
"47","ENSG00000228794",637,1093,907
"48","ENSG00000225880",41,40,33
"49","ENSG00000288531",0,0,0
"50","ENSG00000230368",6,4,8
"51","ENSG00000234711",0,0,3
"52","ENSG00000272438",1,0,0
"53","ENSG00000230699",9,4,6
"54","ENSG00000241180",0,1,0
"55","ENSG00000223764",289,108,50
"56","ENSG00000187634",282,91,81
"57","ENSG00000188976",1755,1064,888
"58","ENSG00000187961",132,129,132
