"MDM_MOCK_F" "MDM_MOCK_L" "MDM_MOCK_S" "MDM_IL27_F" "MDM_IL27_L" "MDM_IL27_S" "MDM_LPS_F" "MDM_LPS_L" "MDM_LPS_S" "MDM_IL27_LPS_F" "MDM_IL27_LPS_L" "MDM_IL27_LPS_S"
"ENSG00000223972" 2 0 1 2 0 0 1 0 0 0 1 0
"ENSG00000243485" 0 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000274890" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000237613" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000268020" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000240361" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000186092" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000239945" 4 1 3 2 2 2 2 2 3 0 2 0
"ENSG00000238009" 7 2 11 6 3 7 4 4 5 2 3 0
"ENSG00000241860" 0 1 4 2 3 1 0 0 0 0 4 0
"ENSG00000279928" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000275135" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000228463" 0 15 4 2 23 10 1 12 2 2 5 2
"ENSG00000236743" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000236601" 0 0 0 0 1 0 0 0 2 0 4 0
"ENSG00000237094" 23 14 27 26 18 17 10 3 17 12 22 9
"ENSG00000269732" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000278566" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000278757" 0 1 0 0 0 0 0 0 0 0 0 0
"ENSG00000230021" 6 4 2 8 7 2 8 4 2 6 9 2
"ENSG00000235146" 2 0 0 2 1 2 0 0 0 4 0 0
"ENSG00000278791" 246 317 122 694 347 74 329 257 546 74 260 371
"ENSG00000268663" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000273547" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000223181" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000229905" 0 0 0 0 0 0 0 0 2 0 0 0
"ENSG00000228327" 147 59 135 182 57 83 82 41 25 32 54 67
"ENSG00000237491" 14 18 20 12 10 13 12 10 4 9 8 6
"ENSG00000230092" 2 1 3 2 8 1 4 1 0 4 7 0
"ENSG00000228794" 282 256 205 331 193 173 224 114 198 163 144 195
"ENSG00000227232" 103 72 280 121 133 113 87 94 113 67 82 94
"ENSG00000278267" 27 17 19 13 11 14 14 11 7 9 9 7
"ENSG00000233750" 26 8 29 17 7 26 11 2 17 8 1 4
"ENSG00000268903" 559 308 532 376 292 358 100 153 250 71 173 273
"ENSG00000269981" 493 270 667 369 304 345 140 124 229 128 179 276
"ENSG00000239906" 0 12 27 3 20 7 1 1 4 0 6 8
"ENSG00000222623" 0 0 2 0 0 0 0 0 0 0 0 0
"ENSG00000241599" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000279457" 157 208 209 107 267 201 120 189 193 98 162 219
"ENSG00000273874" 2 3 0 2 7 0 2 1 0 1 0 1
"ENSG00000241670" 0 0 1 2 4 1 0 3 1 2 0 0
"ENSG00000236679" 1 1 2 1 3 1 2 0 1 2 2 0
"ENSG00000224813" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000233653" 0 0 1 0 0 0 1 0 0 0 0 0
"ENSG00000250575" 3 7 2 6 7 1 5 1 8 2 1 6
"ENSG00000225972" 37 31 51 48 31 26 49 28 103 23 46 67
"ENSG00000225630" 11653 4325 12924 7577 4386 7188 6051 3093 5782 6650 4433 7114
"ENSG00000276171" 144 31 107 55 35 81 36 29 47 26 22 53
"ENSG00000237973" 4755 2382 3708 4099 2373 2316 2820 2148 4131 1522 2056 3139
"ENSG00000229344" 282 258 151 444 307 83 361 221 433 65 218 321
"ENSG00000240409" 506 253 551 398 253 401 656 164 265 379 243 292
"ENSG00000248527" 67102 30884 59348 45433 28448 37258 40907 28799 43486 32518 38575 40555
"ENSG00000198744" 276 189 242 287 220 133 291 185 284 128 185 249
"ENSG00000229376" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000177757" 2 4 5 2 2 0 3 0 0 2 4 4
