gene_id,Rep1._x,Rep2._x,Rep3._x,Rep1._y,Rep2._y,Rep3._y
ENSMUSG00000000001,1212.0,1187.0,1154.0,1031.0,1274.0,848.0
ENSMUSG00000000028,15.0,32.0,10.0,16.0,11.0,13.0
ENSMUSG00000000049,18423.0,17917.0,15619.0,16395.0,16006.0,10709.0
ENSMUSG00000000056,515.0,593.0,606.0,801.0,733.0,553.0
ENSMUSG00000000058,71.0,60.0,44.0,45.0,46.0,41.0
ENSMUSG00000000078,104.0,193.0,189.0,139.0,114.0,117.0
ENSMUSG00000000085,90.0,113.0,103.0,88.0,90.0,64.0
ENSMUSG00000000088,1013.29,993.65,990.37,804.94,901.66,571.69
ENSMUSG00000000093,28.0,17.0,24.0,22.0,29.0,22.0
ENSMUSG00000000120,22.0,60.0,73.0,57.0,56.0,35.0
ENSMUSG00000000126,0.0,3.0,1.0,5.0,2.0,5.0
ENSMUSG00000000127,123.0,133.0,103.0,108.0,103.0,69.0
ENSMUSG00000000131,537.0,606.0,518.0,469.0,447.0,282.0
ENSMUSG00000000134,263.0,484.0,463.0,359.0,283.0,173.0
ENSMUSG00000000142,54.0,49.0,18.0,49.89,32.0,24.0
ENSMUSG00000000148,101.0,104.0,86.0,145.0,105.0,60.0
ENSMUSG00000000149,1423.62,1578.13,1153.5,1176.96,1064.45,867.03
ENSMUSG00000000154,844.0,997.0,898.0,857.0,784.0,438.0
ENSMUSG00000000157,14.0,3.0,7.0,8.0,11.0,4.0
ENSMUSG00000000159,291.0,324.0,253.0,247.0,264.0,196.0
ENSMUSG00000000167,8.0,4.0,3.11,7.12,3.0,4.0
ENSMUSG00000000168,532.0,582.0,570.0,534.0,518.0,388.0
ENSMUSG00000000171,2101.0,1754.0,1654.0,1550.0,1766.0,1219.0
ENSMUSG00000000184,103.0,121.0,135.0,127.0,140.0,107.0
ENSMUSG00000000194,201.0,213.0,229.0,217.0,241.0,155.0
ENSMUSG00000000204,1.01,10.81,8.35,3.15,4.97,6.72
ENSMUSG00000000244,4.0,4.0,1.0,5.0,6.0,1.0
ENSMUSG00000000247,18.0,20.0,10.0,18.0,24.0,23.0
ENSMUSG00000000253,6.0,10.0,3.0,13.0,9.0,4.0
ENSMUSG00000000266,138.0,126.0,94.0,75.0,110.0,87.0
ENSMUSG00000000275,1554.0,1142.0,1074.0,1371.0,1136.0,913.0
ENSMUSG00000000276,30.0,17.0,22.0,18.0,19.0,20.0
ENSMUSG00000000278,451.88,491.0,389.93,430.0,395.0,321.0
ENSMUSG00000000282,45.0,127.0,110.0,130.0,110.0,45.0
ENSMUSG00000000290,105.0,151.0,140.0,113.0,129.0,75.0
ENSMUSG00000000295,7.0,3.0,7.0,7.0,9.0,4.0
ENSMUSG00000000296,66.0,87.0,75.0,50.0,61.0,54.0
ENSMUSG00000000301,2266.0,2808.0,2332.0,2830.0,2462.0,1672.0
ENSMUSG00000000303,476.0,508.0,486.0,437.0,465.0,336.0
ENSMUSG00000000305,5.0,11.0,5.0,2.0,10.0,1.0
ENSMUSG00000000317,25.0,74.0,66.0,28.0,31.0,27.0
ENSMUSG00000000318,4.0,3.0,5.0,5.51,3.35,2.73
ENSMUSG00000000320,6.0,16.0,8.0,14.0,9.0,3.0
ENSMUSG00000000325,117.01,103.6,70.39,119.55,121.53,91.37
ENSMUSG00000000326,6837.99,9536.18,8087.77,9088.22,8361.93,4508.86
ENSMUSG00000000339,64.79,90.09,82.56,79.2,69.07,62.66
ENSMUSG00000000340,1340.0,1075.0,1106.0,876.0,860.0,799.0
ENSMUSG00000000346,1565.0,1550.0,1431.0,1228.0,1265.0,815.0
ENSMUSG00000000355,301.0,232.0,208.0,231.0,237.0,171.0
ENSMUSG00000000359,2.0,8.0,5.0,2.0,6.0,3.0
ENSMUSG00000000374,341.0,447.0,318.0,356.0,343.0,222.0
ENSMUSG00000000378,215.0,274.0,236.0,174.0,178.0,147.0
ENSMUSG00000000384,296.12,406.97,339.0,327.0,354.0,202.0
ENSMUSG00000000385,26.0,64.0,26.0,46.0,27.0,25.0
ENSMUSG00000000386,20.37,11.59,17.44,17.62,17.56,14.74
ENSMUSG00000000392,2.0,1.0,2.0,1.0,1.0,4.0
ENSMUSG00000000399,1101.0,1086.0,894.0,848.0,882.0,640.0
ENSMUSG00000000409,8.0,13.0,8.0,16.0,16.0,11.0
ENSMUSG00000000416,6.0,0.0,6.0,1.0,1.0,2.0
ENSMUSG00000000420,678.0,667.0,615.0,544.0,674.0,502.0
ENSMUSG00000000439,165.89,127.6,137.38,145.58,149.21,102.56
ENSMUSG00000000440,108.0,128.0,116.0,119.0,124.0,91.0
ENSMUSG00000000441,1078.27,1222.89,1017.07,558.91,948.91,664.37
ENSMUSG00000000486,8.0,15.0,7.0,11.0,18.0,8.0
ENSMUSG00000000489,6.0,11.0,17.0,17.0,12.0,15.0
ENSMUSG00000000530,32.0,51.0,35.0,35.0,47.0,32.0
ENSMUSG00000000531,9.0,25.0,14.0,12.0,23.0,6.0
ENSMUSG00000000532,99.0,125.0,88.0,133.0,98.0,100.0
ENSMUSG00000000538,460.08,465.28,420.53,452.84,397.36,290.01
ENSMUSG00000000552,90.0,136.0,108.0,96.0,78.0,37.0
ENSMUSG00000000555,212.0,269.0,224.0,197.0,152.0,149.0
ENSMUSG00000000561,375.46,382.27,363.02,362.74,328.37,239.77
ENSMUSG00000000563,3172.3,2954.43,2995.09,2684.7,3000.51,1917.23
ENSMUSG00000000567,42.0,86.0,65.0,38.0,39.0,32.0
ENSMUSG00000000568,247.0,251.44,212.08,267.78,226.71,207.0
ENSMUSG00000000579,30.8,14.85,16.28,13.28,17.9,13.19
ENSMUSG00000000581,471.0,334.0,344.0,291.0,300.0,280.0
ENSMUSG00000000594,1214.0,1113.0,1221.0,832.0,929.0,648.0
ENSMUSG00000000600,316.0,258.0,210.0,207.0,215.0,207.0
ENSMUSG00000000605,853.0,756.0,691.0,703.0,738.0,502.0
ENSMUSG00000000628,6.0,12.0,16.0,17.0,4.0,4.0
ENSMUSG00000000631,1042.0,1247.0,1224.0,1130.0,1092.0,608.0
ENSMUSG00000000673,3843.0,4619.0,4116.0,4466.0,4297.0,2758.0
ENSMUSG00000000682,60.0,60.0,62.0,52.0,62.0,55.0
ENSMUSG00000000686,205.91,240.25,189.3,305.49,258.35,178.27
ENSMUSG00000000693,24.76,25.91,12.48,18.81,26.77,13.6
ENSMUSG00000000708,1541.0,1194.0,979.38,732.0,1001.0,701.0
ENSMUSG00000000711,1424.0,1496.37,1470.0,1398.0,1386.49,892.0
ENSMUSG00000000732,4.0,18.0,24.0,8.0,24.0,9.0
ENSMUSG00000000738,425.0,476.0,428.0,426.0,367.0,274.0
ENSMUSG00000000739,43.0,66.0,44.0,171.0,101.0,58.0
ENSMUSG00000000740,310.05,275.56,524.83,455.66,365.29,120.71
ENSMUSG00000000743,565.0,675.0,544.0,634.0,607.0,371.0
ENSMUSG00000000751,338.0,295.0,241.0,340.0,318.0,299.0
ENSMUSG00000000753,5553.0,6541.0,5189.0,5548.0,5576.0,3347.0
ENSMUSG00000000759,244.0,246.0,214.0,210.0,179.0,164.0
ENSMUSG00000000776,50.0,77.0,90.0,113.0,88.0,53.0
ENSMUSG00000000782,41.0,36.0,44.0,34.0,34.0,29.0
ENSMUSG00000000787,3435.0,3477.56,3128.27,2094.7,2435.0,1933.0
ENSMUSG00000000791,8.0,15.0,9.0,16.0,12.0,6.0
ENSMUSG00000000804,561.0,527.0,514.0,401.0,426.0,325.0
ENSMUSG00000000811,73.0,78.0,77.0,91.0,87.0,53.0
ENSMUSG00000000817,6.0,5.0,0.0,2.0,1.0,2.0
ENSMUSG00000000823,300.72,332.89,242.0,269.89,243.0,181.69
ENSMUSG00000000826,891.0,1003.0,885.0,785.0,880.0,591.0
ENSMUSG00000000827,260.36,327.0,266.0,264.0,288.0,200.0
ENSMUSG00000000838,377.83,287.0,243.0,267.41,277.12,238.88
ENSMUSG00000000861,1.0,1.0,4.79,3.0,4.0,0.0
ENSMUSG00000000876,1204.0,1255.0,1022.0,923.0,873.0,645.0
ENSMUSG00000000881,186.0,142.0,156.0,149.0,136.0,109.0
ENSMUSG00000000884,8.7,12.72,14.0,19.87,16.0,11.43
ENSMUSG00000000901,5.0,3.0,0.0,2.0,10.0,1.0
ENSMUSG00000000902,166.0,213.0,171.0,163.0,153.0,138.0
ENSMUSG00000000915,296.0,479.0,530.0,552.0,417.0,263.0
ENSMUSG00000000916,97.51,105.87,87.63,86.61,86.43,64.01
ENSMUSG00000000934,198.85,213.0,178.0,171.0,123.0,101.98
ENSMUSG00000000942,3.0,4.0,0.0,2.0,3.0,2.0
ENSMUSG00000000948,110.83,94.37,86.69,83.4,58.16,61.45
ENSMUSG00000000957,212.0,243.0,198.0,243.0,219.0,155.0
ENSMUSG00000000958,27.2,50.9,42.1,47.58,49.61,36.0
ENSMUSG00000000959,445.8,547.1,462.9,430.42,423.39,249.0
ENSMUSG00000000976,228.0,325.0,278.0,254.0,242.0,171.0
ENSMUSG00000001016,191.72,129.26,154.93,117.16,157.55,100.49
ENSMUSG00000001017,593.0,591.0,541.0,486.0,484.0,388.0
ENSMUSG00000001018,198.28,189.74,163.07,194.84,187.45,165.51
ENSMUSG00000001020,2.0,7.0,3.0,2.0,1.0,2.0
ENSMUSG00000001025,3.0,6.0,8.0,13.0,10.0,22.0
ENSMUSG00000001029,22.0,38.0,34.0,31.0,29.0,18.0
ENSMUSG00000001034,27.0,31.0,23.0,23.0,36.0,12.0
ENSMUSG00000001036,91.0,102.0,83.0,100.0,82.0,84.0
ENSMUSG00000001039,3.0,4.0,4.0,5.0,2.0,4.0
ENSMUSG00000001052,338.0,366.0,313.0,301.0,321.0,219.0
ENSMUSG00000001053,9.0,32.0,37.0,24.0,15.0,10.0
ENSMUSG00000001054,109.0,134.0,88.0,125.0,108.0,86.0
ENSMUSG00000001056,87.0,174.0,119.0,197.0,125.0,89.0
ENSMUSG00000001062,164.0,209.0,150.0,238.0,205.09,106.0
ENSMUSG00000001065,286.64,341.78,324.52,395.71,321.7,230.69
ENSMUSG00000001082,20.0,47.0,30.0,37.0,23.0,18.0
ENSMUSG00000001089,327.0,320.0,273.0,247.0,245.0,220.0
ENSMUSG00000001095,15.0,15.0,16.0,3.0,6.0,2.0
ENSMUSG00000001098,163.29,176.0,156.0,157.0,165.0,111.86
ENSMUSG00000001100,697.0,863.0,705.0,775.0,783.0,486.0
ENSMUSG00000001103,6.0,10.0,13.0,4.0,9.0,4.0
ENSMUSG00000001105,376.0,449.0,377.0,364.0,449.0,281.0
ENSMUSG00000001119,54.0,77.0,60.0,73.0,84.0,75.0
ENSMUSG00000001120,7.0,10.0,7.0,7.0,9.0,7.0
ENSMUSG00000001123,5200.0,5719.0,4810.0,5354.0,5242.0,3439.0
ENSMUSG00000001127,866.0,866.0,749.0,736.0,676.0,563.0
ENSMUSG00000001128,214.0,284.0,235.0,300.0,222.0,87.0
ENSMUSG00000001134,145.0,175.85,141.0,140.66,144.85,124.43
ENSMUSG00000001138,186.85,155.4,151.0,163.77,151.33,106.0
ENSMUSG00000001143,227.0,252.0,167.0,184.0,166.0,127.0
ENSMUSG00000001150,323.21,346.55,289.82,371.84,302.45,252.67
ENSMUSG00000001151,127.0,155.0,125.0,188.0,122.0,85.0
ENSMUSG00000001155,4244.0,4496.0,4154.0,4385.0,4610.99,2835.0
ENSMUSG00000001156,45.0,123.0,72.0,111.0,100.0,57.0
ENSMUSG00000001157,146.0,116.0,101.0,81.0,92.0,80.0
ENSMUSG00000001158,98.0,121.0,138.0,94.0,134.0,86.0
ENSMUSG00000001166,13.0,9.0,6.0,8.0,11.0,9.0
ENSMUSG00000001173,143.0,94.0,80.0,92.0,93.0,87.0
ENSMUSG00000001175,2167.0,2222.0,2115.0,1934.0,2156.0,1656.0
ENSMUSG00000001211,2332.0,2564.0,2242.0,2297.0,2307.0,1402.0
ENSMUSG00000001227,14.0,37.0,24.0,48.0,17.0,17.0
ENSMUSG00000001228,3.0,5.0,7.0,12.0,9.0,24.0
ENSMUSG00000001229,598.0,842.0,604.0,633.0,583.0,327.0
ENSMUSG00000001240,49.0,84.32,64.09,77.72,89.0,56.0
ENSMUSG00000001247,1211.1,1504.77,1502.03,1726.02,1527.34,807.12
ENSMUSG00000001248,114.0,145.0,142.0,139.0,132.0,99.0
ENSMUSG00000001249,2922.0,3818.0,3550.0,4086.0,3357.0,1858.0
ENSMUSG00000001270,32.0,41.0,42.0,75.0,43.0,30.0
ENSMUSG00000001280,585.99,475.32,493.97,547.99,543.95,368.99
ENSMUSG00000001281,25.0,24.0,21.0,20.0,22.0,17.0
ENSMUSG00000001285,161.0,153.0,114.95,160.83,152.72,80.89
ENSMUSG00000001288,64.0,72.0,62.0,69.0,74.0,27.0
ENSMUSG00000001289,470.0,554.39,417.3,421.17,429.28,331.11
ENSMUSG00000001300,42.0,48.0,35.0,21.0,42.0,25.0
ENSMUSG00000001305,87.0,111.0,81.0,97.0,96.0,60.0
ENSMUSG00000001313,68.0,72.33,91.0,75.0,113.0,55.0
ENSMUSG00000001323,1568.06,1597.09,1365.6,1187.44,1486.24,1045.59
ENSMUSG00000001334,1.0,3.0,2.0,2.0,4.0,6.0
ENSMUSG00000001348,839.0,1050.0,922.0,957.0,850.0,498.0
ENSMUSG00000001349,1.0,0.0,0.0,10.0,13.0,13.0
ENSMUSG00000001366,780.0,725.0,604.0,620.0,615.0,411.0
ENSMUSG00000001376,181.0,148.0,121.0,145.0,156.0,122.0
ENSMUSG00000001379,137.0,272.0,250.0,183.0,179.0,99.0
ENSMUSG00000001380,299.23,359.96,310.72,339.07,344.47,204.76
ENSMUSG00000001383,253.0,276.0,247.0,303.0,299.0,203.0
ENSMUSG00000001403,13.0,9.0,10.0,8.0,16.0,10.0
ENSMUSG00000001415,342.0,506.0,397.0,422.0,409.0,227.0
ENSMUSG00000001416,967.0,1092.0,992.0,920.0,964.98,722.0
ENSMUSG00000001417,51.1,53.04,35.65,75.69,57.76,59.5
ENSMUSG00000001418,474.35,641.19,515.16,545.28,487.58,296.62
ENSMUSG00000001419,483.68,704.75,440.31,383.81,322.8,252.75
ENSMUSG00000001420,6.65,9.81,12.84,14.72,2.42,11.38
ENSMUSG00000001424,1142.0,1506.0,1209.0,1233.0,1315.0,773.0
ENSMUSG00000001435,8167.0,10348.0,8654.0,9710.0,7385.0,4506.0
ENSMUSG00000001436,99.0,95.0,99.0,108.0,64.0,42.0
